crsyr1,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords
1975,"La Paz, Baja California del Sur","Tijuana, Baja California del Norte",,"(-110.3379169, 24.1325425)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1977,"La Yesca, Nayarit","Tecate, Baja California del Norte","Riverside-San Bernardino, CA ","(-104.8366738, 21.5842142)","(-116.6298787, 32.5653831)","(-117.3455744, 34.0109957)"
1975,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1980,"Cajeme, Sonora","Tijuana, Baja California del Norte",,"(-109.9022075359282, 27.71198065)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1982,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-115.448325, 32.6248622)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1974,"Acaponeta, Nayarit","Tijuana, Baja California del Norte",,"(-105.3333212, 22.6361853)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1986,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1975,Nayarit,"Tijuana, Baja California del Norte","Las Vegas, NV-AZ ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-114.0562227, 36.8159974)"
1982,,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(11.0480288, 46.3144754)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1969,,"Tecate, Baja California del Norte","San Jose, CA ","(11.0480288, 46.3144754)","(-116.6298787, 32.5653831)","(-121.890583, 37.3361905)"
1975,"Mexicali, Baja California del Norte","Nogales, Sonora","Los Angeles-Long Beach, CA ","(-115.448325, 32.6248622)","(-108.9620954, 30.2074686)","(-118.2400932, 33.7689643)"
1976,"Jala, Nayarit","Tijuana, Baja California del Norte",,"(-104.837111, 21.5848863)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1986,"Tepic, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.894676, 21.5043446)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1982,Nayarit,"Tijuana, Baja California del Norte","Las Vegas, NV-AZ ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-114.0562227, 36.8159974)"
1990,"Santiago Ixcuintla, Nayarit","Tijuana, Baja California del Norte","Las Vegas, NV-AZ ","(-105.55198949609715, 21.959108)","(-116.964662, 32.5010188)","(-114.0562227, 36.8159974)"
1970,"Santa María del Oro, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.5693342, 21.2174419)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1976,"Tepic, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.894676, 21.5043446)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1978,,"Tijuana, Baja California del Norte","Sacramento, CA ","(11.0480288, 46.3144754)","(-116.964662, 32.5010188)","(-121.493895, 38.5810606)"
1980,"La Yesca, Nayarit","Agua Prieta, Sonora","San Jose, CA ","(-104.8366738, 21.5842142)","(-109.5425509, 31.3179664)","(-121.890583, 37.3361905)"
1977,"Compostela, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-105.1826743, 21.0950577)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1980,"Guaymas, Sonora","Nogales, Sonora","Santa Barbara-Santa Maria-Lompoc, CA ","(-111.01852472776024, 28.0738847)","(-108.9620954, 30.2074686)","(-120.508049, 34.675904)"
1984,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1980,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1975,"La Yesca, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.8366738, 21.5842142)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1970,"Santiago Ixcuintla, Nayarit","Nuevo Laredo, Tamaulipas","Santa Cruz-Watsonville, CA ","(-105.55198949609715, 21.959108)","(-99.5185992, 27.4761506)","(-121.7658825, 36.8994945)"
1976,"Tijuana, Baja California del Norte","Tecate, Baja California del Norte","Bakersfield, CA ","(-116.964662, 32.5010188)","(-116.6298787, 32.5653831)","(-119.0194639, 35.3738712)"
1984,"Santiago Ixcuintla, Nayarit","Tijuana, Baja California del Norte","San Diego, CA ","(-105.55198949609715, 21.959108)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1982,"La Paz, Baja California del Sur","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-110.3379169, 24.1325425)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1990,", Zacatecas","Tijuana, Baja California del Norte",,"(-103.20856984509811, 23.0823582)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1977,", México","Tijuana, Baja California del Norte",,"(-100.000037, 22.5000485)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1985,Nayarit,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-121.7658825, 36.8994945)"
1972,", Zacatecas","Tecate, Baja California del Norte",,"(-103.20856984509811, 23.0823582)","(-116.6298787, 32.5653831)","(11.0480288, 46.3144754)"
1984,"Ahuacatlán, Nayarit","Mexicali, Baja California del Norte",,"(-104.9167545, 21.508543)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
1979,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1986,"Compostela, Nayarit","Tijuana, Baja California del Norte",,"(-105.1826743, 21.0950577)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1984,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte",,"(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1967,Baja California del Norte,"Mexicali, Baja California del Norte",,"(-116.80410383187461, 31.80965305)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
1971,"Tepic, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.894676, 21.5043446)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1965,Nayarit,"Tijuana, Baja California del Norte",,"(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1971,Nayarit,"San Luis Río Colorado, Sonora",,"(-104.87148535201122, 21.8438765)","(-114.29077314185326, 31.9939146)","(11.0480288, 46.3144754)"
1967,Nayarit,"Mexicali, Baja California del Norte","Fresno, CA ","(-104.87148535201122, 21.8438765)","(-115.448325, 32.6248622)","(-119.7848307, 36.7394421)"
1970,"Tepic, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.894676, 21.5043446)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1980,Nayarit,"Tijuana, Baja California del Norte","Orange County, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1950,"Autlán de Navarro, Jalisco","San Luis Río Colorado, Sonora",,"(-104.31834015548738, 19.75703)","(-114.29077314185326, 31.9939146)","(11.0480288, 46.3144754)"
1988,"Morelia, Michoacán","Tijuana, Baja California del Norte",,"(-101.1923818, 19.7027116)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1985,,"Tijuana, Baja California del Norte","San Diego, CA ","(11.0480288, 46.3144754)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
